timestamp,temperature_c,rain_probability,soil_moisture_pct,flow_lpm,pressure_bar,hour_of_day,is_irrigating,anomaly_label,anomaly_type,flow_rolling_mean,flow_rolling_std,pressure_rolling_mean,pressure_drop,flow_deviation,soil_delta,evap_index
2024-01-01 00:00:00,0.281885,0.042,1.0,0.0,0.050771,0.0,0,0,Normal,0.0,0.0,0.028671,0.496093,0.256076,0.47541,0.148343
2024-01-01 00:05:00,0.251386,0.024,0.9945,0.0,0.050771,0.003483,0,0,Normal,0.0,0.0,0.028671,0.496093,0.256076,0.295082,0.12933
2024-01-01 00:10:00,0.273567,0.012,0.991,0.0,0.037596,0.00697,0,0,Normal,0.0,0.0,0.023776,0.490391,0.256076,0.360656,0.144955
2024-01-01 00:15:00,0.299445,0.034,0.9885,0.0,0.068445,0.010453,0,0,Normal,0.0,0.0,0.03007,0.506864,0.256076,0.393443,0.162651
2024-01-01 00:20:00,0.227819,0.036,0.986,0.0,0.076799,0.013936,0,0,Normal,0.0,0.0,0.035315,0.509187,0.256076,0.393443,0.115587
2024-01-01 00:25:00,0.221349,0.023,0.98,0.002189,0.023136,0.017423,0,0,Normal,0.000495,0.001711,0.029371,0.477508,0.257759,0.278689,0.112575
2024-01-01 00:30:00,0.281885,0.011,0.98,0.0,0.022172,0.020906,0,0,Normal,0.000495,0.001711,0.024126,0.480042,0.256076,0.47541,0.152861
2024-01-01 00:35:00,0.245379,0.028,0.9755,0.001846,0.068766,0.024389,0,0,Normal,0.000925,0.002003,0.027273,0.508765,0.257496,0.327869,0.129518
2024-01-01 00:40:00,0.193623,0.013,0.97,0.000657,0.067802,0.027876,0,0,Normal,0.001068,0.001911,0.032867,0.504752,0.256581,0.295082,0.096197
2024-01-01 00:45:00,0.224584,0.047,0.963,0.000523,0.063946,0.031359,0,0,Normal,0.001185,0.001784,0.031818,0.502851,0.256479,0.245902,0.118411
2024-01-01 00:50:00,0.181608,0.031,0.956,0.000837,0.048522,0.034842,0,0,Normal,0.001381,0.001602,0.026923,0.495671,0.25672,0.245902,0.091114
2024-01-01 00:55:00,0.175601,0.015,0.949,0.002208,0.04563,0.038329,0,0,Normal,0.001381,0.001602,0.030769,0.491447,0.257774,0.245902,0.088667
2024-01-01 01:00:00,0.195933,0.011,0.946,0.004158,0.043059,0.041812,0,0,Normal,0.002331,0.00264,0.034615,0.487434,0.259274,0.377049,0.102974
2024-01-01 01:05:00,0.110444,0.036,0.944,0.001618,0.036954,0.045295,0,0,Normal,0.002279,0.00264,0.029021,0.4868,0.25732,0.409836,0.045745
2024-01-01 01:10:00,0.112292,0.035,0.938,0.0,0.053985,0.048782,0,0,Normal,0.002136,0.002858,0.026573,0.499472,0.256076,0.278689,0.048193
2024-01-01 01:15:00,0.149723,0.03,0.9315,0.0,0.082584,0.052265,0,0,Normal,0.002006,0.003022,0.02972,0.516367,0.256076,0.262295,0.074736
2024-01-01 01:20:00,0.128004,0.031,0.9275,0.0,0.046915,0.055748,0,0,Normal,0.001823,0.003222,0.029371,0.493136,0.256076,0.344262,0.060806
2024-01-01 01:25:00,0.171904,0.03,0.924,0.0,0.05045,0.059235,0,0,Normal,0.001315,0.00324,0.03042,0.494826,0.256076,0.360656,0.091303
2024-01-01 01:30:00,0.121534,0.018,0.9215,0.000971,0.034704,0.062718,0,0,Normal,0.000586,0.001329,0.028671,0.485533,0.256823,0.393443,0.057605
